ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
38068_at	577	809	747	875	857	919	1535	1505
38069_at	864	1024	735	675	481	495	842	653
38070_at	1083	855	2852	2300	395	448	260	187
38071_at	22	49	87	88	176	211	95	207
38072_at	296	216	278	454	438	521	35	28
38073_at	256	262	577	661	142	219	59	53
38074_at	1376	857	2075	2214	792	850	319	351
38075_at	1159	834	866	842	1283	1745	515	360
38076_at	4684	4238	1773	2012	2733	3031	4526	3657
38077_at	100	63	239	203	1600	1820	200	199
38078_at	444	454	590	643	1136	937	1450	1405
38079_at	273	218	340	347	535	556	251	264
38080_at	16992	19247	5001	4816	13219	11478	15134	11789
38081_at	997	931	936	988	1080	1180	820	761
38082_at	59	27	232	239	46	79	44	26
38083_at	85	43	36	34	63	42	26	42
38084_at	541	368	1988	2213	292	494	186	353
38085_at	412	328	2082	2277	397	466	106	162
38086_at	245	210	1829	1571	20	24	6	9
38087_s_at	80	218	74	73	1595	1515	1428	711
38088_r_at	1280	1449	764	248	2054	2146	1806	1758
38089_at	425	451	751	561	393	450	220	407
38090_at	699	843	481	511	419	305	257	286
38091_at	1391	1152	1748	1290	1998	1717	2139	1836
38092_at	74	63	57	8	122	170	124	95
38093_at	516	570	867	1037	1052	1289	496	331
38094_at	1045	1100	1536	1580	1957	2020	1332	1062
38095_i_at	975	835	55	107	721	860	5344	4194
38096_f_at	418	468	4	5	506	551	1992	1853
38097_at	1287	1495	1386	1192	1658	1475	2766	4929
38098_at	353	295	313	409	283	278	147	94
38099_r_at	71	55	177	190	421	809	4	52
381_s_at	163	224	72	143	316	352	264	117
38100_at	213	168	704	571	203	240	44	170
38101_at	535	863	2693	2865	324	423	307	318
38102_at	163	115	367	525	7	61	2	2
38103_at	647	498	891	668	660	698	921	703
38104_at	320	266	126	296	793	559	772	992
38105_at	425	307	880	882	289	455	215	152
38106_at	234	149	318	496	196	208	105	146
38107_at	923	866	836	903	755	715	891	986
38108_at	282	294	228	198	461	478	138	462
38109_at	73	192	465	323	296	245	68	245
38110_at	575	544	1560	1786	775	1274	278	223
38111_at	202	117	1659	1858	108	176	13	19
38112_g_at	170	59	894	1065	66	119	65	131
38113_at	582	377	1064	1544	96	175	355	185
38114_at	1474	907	2113	2481	1058	1221	302	280
38115_at	2026	2100	562	597	558	558	543	432
38116_at	82	12	392	249	1835	2209	77	62
38117_at	758	781	672	597	706	845	633	648
38118_at	720	1007	651	443	5709	5426	2780	2778
38119_at	221	298	251	304	6425	6423	474	469
38120_at	223	148	387	368	98	104	98	102
38121_at	1310	1248	574	925	775	899	965	511
38122_at	1452	1603	1366	1302	310	436	769	478
38123_at	248	170	397	408	278	269	281	183
38124_at	71	87	707	509	710	999	81	111
38125_at	102	82	178	203	3684	3240	454	535
38126_at	1865	1899	2094	2209	7385	7185	15836	10040
38127_at	542	461	727	895	6525	6513	17084	13894
38128_at	54	71	314	117	1478	1535	3574	2622
38129_at	31	13	135	66	204	179	26	27
38130_s_at	32	29	6	57	12	95	34	4
38131_at	207	73	93	79	66	61	101	121
38132_at	1696	1723	966	826	2459	1977	1758	2937
38133_at	29	8	34	2	16	16	22	18
38134_at	93	8	70	11	151	105	14	59
38135_at	69	71	128	217	19	32	26	30
38136_at	19	36	111	99	21	84	83	40
38137_at	83	65	147	47	49	89	107	161
38138_at	245	230	152	47	754	955	663	561
38139_at	141	80	312	330	15	10	6	30
38140_at	339	301	21	49	70	37	41	38
38141_at	174	106	87	148	97	89	32	89
38142_at	29	64	283	252	155	139	90	34
38143_at	151	67	147	67	22	89	72	18
38144_at	51	48	44	46	10	60	39	25
38145_at	55	29	25	66	66	4	10	42
